2025-10-21 13:12:47 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:12:47 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:12:47 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:12:47 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:12:47 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:47 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:47 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:47 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:47 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:47 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:48 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:48 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:48 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:48 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:48 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:48 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:48 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:48 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:48 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:48 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:48 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:48 | 10.172.150.168 -> 40.79.173.41 | proto=6
2025-10-21 13:12:48 | 40.79.173.41 -> 10.172.150.168 | proto=6
2025-10-21 13:12:54 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:12:54 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:13:04 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:13:04 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:14:27 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:14:27 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:14:27 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:14:27 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:14:27 | 10.172.150.168 -> 20.44.10.123 | proto=6
2025-10-21 13:14:28 | 20.44.10.123 -> 10.172.150.168 | proto=6
2025-10-21 13:14:29 | 20.44.10.123 -> 10.172.150.168 | proto=6
2025-10-21 13:14:31 | 20.44.10.123 -> 10.172.150.168 | proto=6
2025-10-21 13:14:32 | 10.172.150.168 -> 3.233.158.114 | proto=6
2025-10-21 13:14:32 | 3.233.158.114 -> 10.172.150.168 | proto=6
2025-10-21 13:14:34 | 3.233.158.114 -> 10.172.150.168 | proto=6
2025-10-21 13:14:34 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:14:34 | 10.172.150.168 -> 142.250.70.74 | proto=17
